location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,market_name,lat,lon,commodity_category,commodity_name,unit,price_flag,price_type,currency_code,price,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#date+start,#date+end
LKA,False,False,Western,Colombo,LK1,Western,LK11,Colombo,2,Colombo City,6.93,79.85,oil and fats,Oil (coconut),750 ML,actual,Retail,LKR,549.33,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Economic Centre - Peliyagoda,6.97,79.89,cereals and tubers,Potatoes (imported),KG,actual,Retail,LKR,159.35,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Economic Centre - Peliyagoda,6.97,79.89,cereals and tubers,Potatoes (local),KG,actual,Retail,LKR,339.2,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Economic Centre - Peliyagoda,6.97,79.89,"meat, fish and eggs",Eggs,Unit,actual,Retail,LKR,57.33,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Economic Centre - Peliyagoda,6.97,79.89,miscellaneous food,"Chili (red, dry raw)",KG,actual,Retail,LKR,1404.84,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Economic Centre - Peliyagoda,6.97,79.89,pulses and nuts,Beans,KG,actual,Retail,LKR,242.22,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Economic Centre - Peliyagoda,6.97,79.89,pulses and nuts,Lentils,KG,actual,Retail,LKR,357.27,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Economic Centre - Peliyagoda,6.97,79.89,vegetables and fruits,Bananas,KG,actual,Retail,LKR,247.5,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Economic Centre - Peliyagoda,6.97,79.89,vegetables and fruits,Carrots,KG,actual,Retail,LKR,203.33,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Economic Centre - Peliyagoda,6.97,79.89,vegetables and fruits,Coconut,Unit,actual,Retail,LKR,119,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Economic Centre - Peliyagoda,6.97,79.89,vegetables and fruits,"Onions (red, imported)",KG,actual,Retail,LKR,385.17,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Economic Centre - Peliyagoda,6.97,79.89,vegetables and fruits,Papaya,KG,actual,Retail,LKR,342.07,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Economic Centre - Peliyagoda,6.97,79.89,vegetables and fruits,Pineapples,KG,actual,Retail,LKR,619.57,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Economic Centre - Peliyagoda,6.97,79.89,vegetables and fruits,Snake gourd,KG,actual,Retail,LKR,275.38,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Economic Centre - Peliyagoda,6.97,79.89,vegetables and fruits,Tomatoes,KG,actual,Retail,LKR,306.54,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Fish market-Peliyagoda,6.97,79.89,"meat, fish and eggs","Fish (dry, katta)",KG,actual,Retail,LKR,2366.67,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Fish market-Peliyagoda,6.97,79.89,"meat, fish and eggs","Fish (dry, sprats)",KG,actual,Retail,LKR,1194.64,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Fish market-Peliyagoda,6.97,79.89,"meat, fish and eggs",Fish (goldstripe sardinella),KG,actual,Retail,LKR,523.33,2023-03-15,2023-04-14
LKA,False,False,Western,Gampaha,LK1,Western,LK12,Gampaha,2,Fish market-Peliyagoda,6.97,79.89,"meat, fish and eggs",Fish (sail fish),KG,actual,Retail,LKR,2238.4,2023-03-15,2023-04-14
